Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Other  Rabi pulses,2016,Rabi       ,Uttarakhand,19.0,15.0,1580.9,2911.75,6.65,0.79
Other Cereals,2016,Kharif     ,Uttarakhand,1488.0,726.0,1580.9,228036.0,520.8,0.49
Other Cereals,2016,Rabi       ,Uttarakhand,798.0,678.0,1580.9,122293.5,279.3,0.85
Other Kharif pulses,2016,Kharif     ,Uttarakhand,12202.0,11329.0,1580.9,1869956.5,4270.7,0.93
Other Summer Pulses,2016,Summer     ,Uttarakhand,12.0,7.0,1580.9,1839.0,4.2,0.58
Peas & beans (Pulses),2016,Rabi       ,Uttarakhand,4232.0,4149.0,1580.9,648554.0,1481.2,0.98
Potato,2016,Kharif     ,Uttarakhand,6583.0,55540.0,1580.9,1008844.75,2304.05,8.44
Potato,2016,Rabi       ,Uttarakhand,5688.0,68184.0,1580.9,871686.0,1990.8,11.99
Ragi,2016,Kharif     ,Uttarakhand,106365.0,157402.0,1580.9,16300436.25,37227.75,1.48
Rapeseed &Mustard,2016,Rabi       ,Uttarakhand,13503.0,11534.0,1580.9,2069334.75,4726.05,0.85
Rice,2016,Kharif     ,Uttarakhand,251498.0,582720.0,1580.9,38542068.5,88024.3,2.32
Rice,2016,Summer     ,Uttarakhand,14703.0,55577.0,1580.9,2253234.75,5146.05,3.78
Sesamum,2016,Kharif     ,Uttarakhand,1864.0,544.0,1580.9,285658.0,652.4,0.29
Small millets,2016,Kharif     ,Uttarakhand,57467.0,78469.0,1580.9,8806817.75,20113.45,1.37
Soyabean,2016,Kharif     ,Uttarakhand,11431.0,13612.0,1580.9,1751800.75,4000.85,1.19
Sugarcane,2016,Whole Year ,Uttarakhand,91995.0,5445379.0,1580.9,14098233.75,32198.25,59.19
Sunflower,2016,Kharif     ,Uttarakhand,7.0,4.0,1580.9,1072.75,2.45,0.57
Tobacco,2016,Whole Year ,Uttarakhand,9.0,17.0,1580.9,1379.25,3.15,1.89
Turmeric,2016,Whole Year ,Uttarakhand,855.0,1749.0,1580.9,131028.75,299.25,2.05
Urad,2016,Kharif     ,Uttarakhand,12481.0,10194.0,1580.9,1912713.25,4368.35,0.82
Urad,2016,Summer     ,Uttarakhand,92.0,53.0,1580.9,14099.0,32.2,0.58
Wheat,2016,Rabi       ,Uttarakhand,339572.0,891700.0,1580.9,52039409.0,118850.2,2.63
other oilseeds,2016,Kharif     ,Uttarakhand,14.0,10.0,1580.9,2145.5,4.9,0.71
other oilseeds,2016,Rabi       ,Uttarakhand,495.0,317.0,1580.9,75858.75,173.25,0.64
Arhar/Tur,2017,Kharif     ,Uttarakhand,3459.0,3322.0,1475.8,544584.96,1314.42,0.96
Barley,2017,Rabi       ,Uttarakhand,19216.0,25480.0,1475.8,3025367.04,7302.08,1.33
Garlic,2017,Whole Year ,Uttarakhand,4205.0,29163.0,1475.8,662035.2,1597.9,6.94
Gram,2017,Rabi       ,Uttarakhand,530.0,440.0,1475.8,83443.2,201.4,0.83
Groundnut,2017,Kharif     ,Uttarakhand,805.0,1109.0,1475.8,126739.2,305.9,1.38
Horse-gram,2017,Kharif     ,Uttarakhand,12728.0,10555.0,1475.8,2003896.32,4836.64,0.83
Maize,2017,Kharif     ,Uttarakhand,20806.0,42563.0,1475.8,3275696.64,7906.28,2.05
Maize,2017,Summer     ,Uttarakhand,66.0,96.0,1475.8,10391.04,25.08,1.45
Masoor,2017,Rabi       ,Uttarakhand,9500.0,6582.0,1475.8,1495680.0,3610.0,0.69
Moong(Green Gram),2017,Kharif     ,Uttarakhand,15.0,8.0,1475.8,2361.6,5.7,0.53
Moong(Green Gram),2017,Summer     ,Uttarakhand,6.0,4.0,1475.8,944.64,2.28,0.67
Moth,2017,Kharif     ,Uttarakhand,9.0,5.0,1475.8,1416.96,3.42,0.56
Onion,2017,Whole Year ,Uttarakhand,3499.0,56138.0,1475.8,550882.56,1329.62,16.04
Other  Rabi pulses,2017,Rabi       ,Uttarakhand,27.0,22.0,1475.8,4250.88,10.26,0.81
Other Cereals,2017,Kharif     ,Uttarakhand,581.0,315.0,1475.8,91472.64,220.78,0.54
Other Cereals,2017,Rabi       ,Uttarakhand,786.0,591.0,1475.8,123747.84,298.68,0.75
Other Kharif pulses,2017,Kharif     ,Uttarakhand,11774.0,12623.0,1475.8,1853698.56,4474.12,1.07
Peas & beans (Pulses),2017,Rabi       ,Uttarakhand,4348.0,4095.0,1475.8,684549.12,1652.24,0.94
Potato,2017,Kharif     ,Uttarakhand,7861.0,79562.0,1475.8,1237635.84,2987.18,10.12
Potato,2017,Rabi       ,Uttarakhand,6141.0,80400.0,1475.8,966839.04,2333.58,13.09
Ragi,2017,Kharif     ,Uttarakhand,101504.0,138836.0,1475.8,15980789.76,38571.52,1.37
Rapeseed &Mustard,2017,Rabi       ,Uttarakhand,13592.0,11126.0,1475.8,2139924.48,5164.96,0.82
Rice,2017,Kharif     ,Uttarakhand,246539.0,620027.0,1475.8,38815100.16,93684.82,2.51
Rice,2017,Summer     ,Uttarakhand,13953.0,44845.0,1475.8,2196760.32,5302.14,3.21
Sesamum,2017,Kharif     ,Uttarakhand,1888.0,563.0,1475.8,297246.72,717.44,0.3
Small millets,2017,Kharif     ,Uttarakhand,53160.0,70393.0,1475.8,8369510.4,20200.8,1.32
Soyabean,2017,Kharif     ,Uttarakhand,10537.0,12759.0,1475.8,1658945.28,4004.06,1.21
Sugarcane,2017,Whole Year ,Uttarakhand,91618.0,6385778.0,1475.8,14424337.92,34814.84,69.7
Tobacco,2017,Whole Year ,Uttarakhand,5.0,10.0,1475.8,787.2,1.9,2.0
Turmeric,2017,Whole Year ,Uttarakhand,800.0,1804.0,1475.8,125952.0,304.0,2.25
Urad,2017,Kharif     ,Uttarakhand,12884.0,9838.0,1475.8,2028456.96,4895.92,0.76
Urad,2017,Summer     ,Uttarakhand,97.0,66.0,1475.8,15271.68,36.86,0.68
Wheat,2017,Rabi       ,Uttarakhand,330401.0,929884.0,1475.8,52018333.44,125552.38,2.81
other oilseeds,2017,Kharif     ,Uttarakhand,34.0,24.0,1475.8,5352.96,12.92,0.71
other oilseeds,2017,Rabi       ,Uttarakhand,333.0,168.0,1475.8,52427.52,126.54,0.5
Arhar/Tur,2018,Kharif     ,Uttarakhand,3199.0,2571.0,1373.0,518877.8,1119.65,0.8
Barley,2018,Rabi       ,Uttarakhand,18926.0,27023.0,1373.0,3069797.2,6624.1,1.43
Garlic,2018,Whole Year ,Uttarakhand,4384.0,32761.0,1373.0,711084.8,1534.4,7.47
Gram,2018,Rabi       ,Uttarakhand,795.0,646.0,1373.0,128949.0,278.25,0.81
Groundnut,2018,Kharif     ,Uttarakhand,709.0,735.0,1373.0,114999.8,248.15,1.04
Horse-gram,2018,Kharif     ,Uttarakhand,12898.0,11419.0,1373.0,2092055.6,4514.3,0.89
